ID up_or_down duration completeness stgen up_or_do
B1380 Y47H10A.1 2 1 0 12 Y47H10A.1
B1022 Y48B6A.10 2 4 1 6 Y48B6A.10
B1381 Y48B6A.10 1 3 0 10 Y48B6A.10
B321 Y48E1B.11 2 2 1 1 Y48E1B.11
B536 Y48E1B.11 1 2 1 3 Y48E1B.11
B627 Y48E1B.11 2 1 1 5 Y48E1B.11
B815 Y48E1B.11 1 2 1 6 Y48E1B.11
B1382 Y48E1B.11 2 5 0 8 Y48E1B.11
B431 Y48G8AL.6 1 3 1 1 Y48G8AL.6
B537 Y48G8AL.6 2 1 1 4 Y48G8AL.6
B920 Y48G8AL.6 1 4 1 5 Y48G8AL.6
B1110 Y48G8AL.6 2 2 1 9 Y48G8AL.6
B1383 Y48G8AL.6 1 2 0 11 Y48G8AL.6
B628 Y54F10BM.12 2 1 1 5 Y54F10BM.12
B1384 Y54F10BM.12 1 7 0 6 Y54F10BM.12
B816 Y55F3AM.10 1 2 1 6 Y55F3AM.10
B921 Y55F3AM.10 2 1 1 8 Y55F3AM.10
B1023 Y55F3AM.10 1 1 1 9 Y55F3AM.10
B1111 Y55F3AM.10 2 1 1 10 Y55F3AM.10
B1385 Y55F3AM.10 1 2 0 11 Y55F3AM.10
B1386 Y66D12A.3 1 8 0 5 Y66D12A.3
B540 Y69A2AR.31 2 4 1 1 Y69A2AR.31
B1387 Y69A2AR.31 1 8 0 5 Y69A2AR.31
B630 Y71H2AL.1 2 3 1 3 Y71H2AL.1
B817 Y71H2AL.1 1 2 1 6 Y71H2AL.1
B1388 Y71H2AL.1 2 5 0 8 Y71H2AL.1
B1389 Y73F8A.31 1 9 0 4 Y73F8A.31
B818 Y75B12B.4 2 2 1 6 Y75B12B.4
B1390 Y75B12B.4 1 5 0 8 Y75B12B.4
B1112 Y76A2B.3 2 1 1 10 Y76A2B.3
B1391 Y76A2B.3 1 2 0 11 Y76A2B.3
B1392 ZC123.4c 2 1 0 12 ZC123.4
B541 ZC416.1 1 1 1 4 ZC416.1
B1393 ZC416.1 2 8 0 5 ZC416.1
B215 ZK1098.6 1 1 1 1 ZK1098.6
B434 ZK1098.6 2 2 1 2 ZK1098.6
B819 ZK1098.6 1 4 1 4 ZK1098.6
B922 ZK1098.6 2 1 1 8 ZK1098.6
B1394 ZK1098.6 1 4 0 9 ZK1098.6
B923 ZK662.3b 2 7 1 2 ZK662.3
B1395 ZK662.3b 1 4 0 9 ZK662.3
