"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"
"Y39A1A.14"	181	191	133	89	70	105	74	57	166	126	117	84
"Y39A1A.15c"	14	6	4	4	4	2	0	2	6	3	2	1
"Y39A1A.16"	9	13	9	6	3	7	10	5	15	17	14	3
"Y39A1A.17"	0	0	0	1	0	0	0	0	0	3	0	1
"Y39A1A.18"	0	0	4	0	3	3	2	0	0	1	1	1
"Y39A1A.19"	38	25	13	12	32	16	14	9	23	21	14	10
"Y39A1A.1d"	75	59	35	19	31	42	25	21	52	43	29	28
"Y39A1A.2"	0	1	0	1	0	0	0	0	0	0	0	0
"Y39A1A.20"	24	25	3	5	13	7	5	5	16	15	6	11
"Y39A1A.21a"	24	21	8	9	8	7	5	3	2	5	3	2
"Y39A1A.22"	427	255	147	116	230	187	98	107	200	261	170	122
"Y39A1A.23.1"	9	6	1	2	1	0	1	2	3	5	4	5
"Y39A1A.24"	32	28	12	8	18	11	4	9	23	15	15	5
"Y39A1A.27"	4	6	1	2	7	5	2	6	0	5	3	1
"Y39A1A.3"	94	39	32	26	47	32	15	15	41	32	23	29
"Y39A1A.30"	0	0	0	0	0	0	0	0	1	0	0	0
"Y39A1A.5"	506	259	144	116	267	175	113	103	227	232	156	127
"Y39A1A.6"	158	145	62	53	69	56	50	30	96	69	55	41
"Y39A1A.7"	35	41	13	14	18	17	15	20	41	32	25	14
"Y39A1A.8"	18	8	4	7	12	1	6	1	2	10	3	3
"Y39A1A.9"	64	28	21	22	31	16	11	15	32	37	28	14
"Y39A1B.1"	18	6	9	10	2	16	4	9	18	17	10	9
"Y39A1B.2c"	0	0	1	0	0	0	0	0	0	0	0	0
"Y39A1B.3"	789	509	286	204	282	290	220	141	384	267	232	188
"Y39A1C.1"	12	10	5	4	10	6	4	4	6	5	3	6
"Y39A1C.2"	563	310	145	108	385	170	88	116	261	249	181	108
"Y39A1C.3.2"	40	34	19	11	24	21	11	3	35	26	26	13
"Y39A1C.4"	50	27	14	11	40	14	12	12	27	21	19	14
"Y39A3A.1"	15	16	12	9	29	8	10	19	14	14	7	4
"Y39A3A.2"	7	1	4	5	9	5	5	8	9	3	9	3
"Y39A3A.3"	5	2	3	1	4	1	1	0	2	0	1	0
"Y39A3A.4"	0	0	0	0	1	0	0	0	0	0	0	0
"Y39A3A.6"	1	0	0	0	0	0	1	0	0	0	0	0
"Y39A3B.1"	5	0	2	1	2	7	2	3	2	6	4	2
"Y39A3B.2"	11	7	3	0	2	3	6	3	2	0	2	8
"Y39A3B.3"	1	0	0	0	1	0	1	0	1	0	2	0
"Y39A3B.4"	0	2	0	0	0	1	0	0	0	0	0	0
"Y39A3B.7"	2	2	0	0	1	0	1	0	0	1	0	0
"Y39A3CL.1"	556	366	204	159	243	202	136	117	248	271	187	161
"Y39A3CL.10"	1	2	1	0	0	0	0	0	0	2	1	0
"Y39A3CL.2"	1283	1152	616	580	822	773	593	783	1261	1215	788	636
"Y39A3CL.3"	35	34	8	14	22	17	13	12	18	27	16	6
"Y39A3CL.4c"	2	1	0	0	0	1	0	0	0	0	0	0
"Y39A3CL.5a"	54	33	10	13	16	8	8	25	29	37	33	15
"Y39A3CL.6"	6935	4915	2616	2101	5469	2840	2000	2303	3649	4641	3091	2223
"Y39A3CL.7a"	45	34	13	11	8	19	9	15	19	25	27	19
"Y39A3CR.1a"	119	97	50	45	60	57	33	25	71	64	50	28
"Y39A3CR.3a"	261	159	90	75	125	57	66	40	111	74	73	53
"Y39A3CR.4"	58	38	26	16	28	24	17	16	32	28	30	32
"Y39A3CR.5"	2	0	0	0	0	0	0	0	0	0	0	0
"Y39A3CR.6"	0	0	0	0	0	0	0	0	0	2	0	1
"Y39A3CR.7"	147	146	78	80	76	80	54	78	132	121	78	70
"Y39A3CR.8b"	37	9	13	8	23	16	13	4	8	3	9	6
"Y39B6A.1"	14	5	3	2	11	4	2	2	4	6	1	5
"Y39B6A.10"	23	14	11	5	8	9	11	5	10	14	12	18
"Y39B6A.11"	133	109	57	52	77	95	96	95	88	150	80	82
"Y39B6A.12b"	71	33	20	14	34	16	9	15	24	12	20	11
"Y39B6A.13"	64	51	16	19	27	20	18	16	50	50	36	24
"Y39B6A.14"	259	206	116	79	112	89	73	64	156	97	87	84
"Y39B6A.16"	295	155	118	73	138	87	72	71	136	120	97	100
"Y39B6A.17a"	4	3	1	0	0	3	1	1	0	3	2	2
"Y39B6A.18"	17	7	4	3	12	0	2	0	0	0	2	1
"Y39B6A.19a"	11	8	7	6	6	2	4	0	1	3	4	4
"Y39B6A.21"	1	5	0	0	6	2	2	3	5	7	4	2
"Y39B6A.22"	0	0	0	0	0	0	0	0	1	0	0	0
"Y39B6A.23"	4	7	3	4	3	0	0	2	2	4	0	4
"Y39B6A.24"	4	5	1	1	11	6	2	2	2	7	3	1
"Y39B6A.25"	27	25	10	11	19	14	11	5	14	7	7	2
"Y39B6A.27"	1	3	0	1	2	0	0	0	0	2	0	1
"Y39B6A.2a"	233	222	143	115	101	133	125	74	165	132	105	113
"Y39B6A.30"	3	3	2	1	2	0	0	0	1	0	0	0
"Y39B6A.31"	0	0	0	0	1	0	0	0	0	1	0	0
"Y39B6A.33"	397	321	144	136	173	153	115	116	287	196	173	145
"Y39B6A.34a"	59	79	42	43	52	47	30	38	83	52	52	35
"Y39B6A.35"	529	312	188	140	226	144	131	141	272	244	181	171
"Y39B6A.36"	589	191	111	86	253	88	54	61	129	114	89	76
"Y39B6A.37"	2194	831	454	411	1833	599	396	323	674	775	485	358
"Y39B6A.38"	77	49	18	26	26	19	23	13	34	21	29	17
"Y39B6A.39a"	87	77	42	38	53	40	23	17	55	36	22	39
"Y39B6A.3a"	1078	326	137	126	992	150	110	107	264	318	166	120
"Y39B6A.40d"	39	23	16	16	17	17	9	11	22	24	21	15
"Y39B6A.41"	38	35	20	22	21	9	11	5	16	16	18	8
"Y39B6A.42"	149	126	71	95	93	103	71	71	108	142	99	80
"Y39B6A.43c"	14	14	20	9	13	17	6	5	18	9	11	6
"Y39B6A.46"	35	27	15	12	24	22	18	18	57	69	24	27
"Y39B6A.47a"	4	0	1	0	0	1	0	0	0	0	0	0
"Y39B6A.48a"	4	2	2	0	2	1	3	1	1	2	1	2
"Y39B6A.49"	12	30	15	12	10	13	8	10	18	30	15	11
"Y39B6A.5a"	11	2	5	2	9	2	1	2	2	4	1	1
"Y39B6A.6"	14	18	11	4	2	12	9	3	13	9	11	10
"Y39B6A.7"	2	0	0	3	1	0	0	0	1	2	0	1
"Y39B6A.8"	22	18	4	7	22	13	5	3	5	3	1	1
"Y39B6A.9"	24	36	20	9	16	22	35	22	101	84	81	67
"Y39C12A.1"	1	0	0	0	0	0	0	0	0	0	0	0
"Y39C12A.2"	51	68	36	44	13	38	20	14	49	41	24	15
"Y39C12A.5"	1	0	0	1	1	0	0	0	1	0	0	0
"Y39C12A.6"	0	0	0	1	0	0	1	0	0	0	0	0
"Y39C12A.7"	0	0	0	0	0	1	0	1	0	1	0	0
"Y39C12A.8"	109	81	53	32	62	38	27	31	52	60	42	31
"Y39C12A.9"	1137	822	370	355	557	415	448	557	795	1160	693	534
"Y39D8B.1a"	32	25	6	10	38	11	7	6	21	30	9	6
"Y39D8B.2"	0	0	0	0	0	0	1	0	0	0	0	0
"Y39D8B.3"	56	36	14	19	46	16	14	24	43	52	27	18
"Y39D8B.4"	0	0	0	1	0	1	1	0	0	0	1	0
"Y39D8C.1"	57	15	11	14	32	12	7	4	7	15	8	7
"Y39E4A.1"	3	3	3	1	4	6	2	0	0	3	0	1
"Y39E4A.2b"	2	2	1	2	1	5	0	2	2	1	3	4
"Y39E4A.3a"	50	30	16	10	32	14	12	11	18	27	25	12
"Y39E4B.1.1"	2	0	0	1	0	1	3	1	0	3	1	1
"Y39E4B.10"	76	68	34	29	63	54	40	48	67	79	54	41
"Y39E4B.11"	4	4	2	3	3	6	2	0	3	6	2	0
"Y39E4B.13"	10	8	4	4	12	5	3	2	5	7	3	0
"Y39E4B.14"	43462	27906	14817	13580	32835	16144	11523	11473	22163	27203	15868	12476
"Y39E4B.2"	1680	1248	609	475	772	638	460	353	1051	726	609	558
"Y39E4B.4"	14	2	1	4	17	8	2	1	4	4	1	4
"Y39E4B.5"	539	377	209	130	242	174	121	101	296	166	150	143
"Y39E4B.6b"	814	745	400	341	564	420	321	238	446	318	245	174
"Y39E4B.7"	140	111	68	76	80	68	38	60	118	73	58	59
"Y39E4B.8"	705	526	227	202	660	277	157	242	438	557	334	232
"Y39E4B.9d"	357	255	154	153	377	152	133	221	333	532	258	216
"Y39F10A.1"	1	0	0	0	0	0	0	0	0	0	0	0
"Y39F10A.3"	0	0	0	0	1	0	0	0	0	0	0	1
"Y39F10C.3"	2	2	3	0	0	4	0	0	0	2	1	1
"Y39G10AL.1a"	210	139	46	62	209	67	39	54	122	159	91	53
"Y39G10AL.3.1"	1	7	1	3	1	3	0	4	3	1	4	2
"Y39G10AR.10"	95	46	31	20	44	36	17	23	45	73	34	26
"Y39G10AR.11.3"	8	1	1	0	1	1	1	1	4	1	1	0
"Y39G10AR.12a"	1107	796	474	339	469	433	319	272	668	477	404	351
"Y39G10AR.13b.2"	205	56	43	23	118	24	32	20	44	36	33	32
"Y39G10AR.14a.2"	992	691	382	257	549	408	231	219	552	514	347	289
"Y39G10AR.15"	13	2	2	1	6	2	2	3	4	6	2	2
"Y39G10AR.16"	13	4	3	1	10	1	0	1	1	0	2	2
"Y39G10AR.17"	170	68	47	44	61	47	36	29	63	89	49	37
"Y39G10AR.18c.2"	1	0	0	0	0	3	0	0	0	0	0	0
"Y39G10AR.20"	95	88	50	37	60	44	37	23	84	47	51	32
"Y39G10AR.21c"	446	355	263	214	199	269	145	183	339	411	252	195
"Y39G10AR.22"	9	4	6	2	5	1	0	0	1	1	1	2
"Y39G10AR.25"	0	1	2	0	2	0	0	0	0	0	0	1
"Y39G10AR.26"	0	0	0	0	0	0	0	0	1	0	0	0
"Y39G10AR.2c"	119	64	47	30	58	32	37	32	63	32	32	24
"Y39G10AR.32a"	23	23	10	15	4	11	16	16	18	14	11	13
"Y39G10AR.5"	98	76	35	38	58	37	31	41	50	74	43	37
"Y39G10AR.6"	1454	1012	654	507	1085	642	526	575	912	1139	757	654
"Y39G10AR.7b"	3147	2464	1494	1207	1169	1323	956	524	1608	1162	1090	885
"Y39G10AR.8"	778	362	213	177	274	212	106	89	250	175	144	123
"Y39G10AR.9a"	10	1	0	0	1	0	0	0	1	1	2	0
"Y39G8B.1a"	4	3	1	0	0	0	0	0	0	0	0	0
"Y39G8B.2"	66	43	14	22	36	22	12	8	26	15	18	18
"Y39G8B.4"	1	0	0	0	0	0	0	0	0	0	0	0
"Y39G8B.5"	0	0	0	0	0	0	0	0	1	1	0	0
"Y39G8B.7"	0	0	1	0	0	0	0	0	0	0	0	0
"Y39G8B.9"	2	1	4	0	0	0	0	0	0	1	0	0
"Y39G8C.1"	1199	775	475	430	567	443	405	293	914	828	517	383
"Y39G8C.2"	550	319	217	184	428	216	125	97	160	167	102	66
"Y39G8C.3a"	0	0	0	0	0	0	1	0	0	1	0	0
"Y39G8C.4"	26	6	9	5	10	9	7	2	1	11	4	2
"Y39H10A.2"	164	123	62	83	121	104	75	165	223	467	224	147
"Y39H10A.3a"	1	0	2	1	1	1	1	1	1	2	1	1
"Y39H10A.4"	0	0	0	0	0	0	0	0	0	1	0	0
"Y39H10A.6"	178	143	84	58	136	81	61	67	155	269	283	220
"Y39H10A.7b.1"	6	3	4	4	2	5	2	1	2	5	3	5
"Y39H10B.3.1"	0	0	0	0	0	0	0	0	1	0	0	0
"Y40A1A.1"	10623	5180	2798	2162	7121	2822	1964	2081	3648	5091	2999	2270
"Y40A1A.2"	8	2	3	0	2	1	0	1	0	5	3	4
"Y40A1A.3"	24	19	5	7	7	11	2	6	20	12	6	5
"Y40A1A.4"	1782	441	243	211	319	324	190	153	389	373	239	185
"Y40A1A.5"	88	47	23	18	43	32	21	11	26	19	19	14
"Y40B10A.10"	1	0	0	0	0	0	0	0	0	0	0	0
"Y40B10A.1a"	3	0	0	0	1	0	0	0	2	1	0	0
"Y40B10A.2a"	98	95	54	49	42	74	50	88	155	242	108	81
"Y40B10A.3a"	1	0	0	0	0	0	0	0	1	0	0	0
"Y40B10A.4"	0	0	1	1	0	1	0	0	1	1	1	0
"Y40B10A.7"	9	6	4	2	6	4	5	1	2	7	5	1
"Y40B10A.8a.2"	5	10	3	2	4	3	5	2	7	6	3	2
"Y40B10A.9a"	8	1	5	0	2	1	1	0	3	2	1	2
"Y40B1A.1a"	27	23	13	9	32	5	3	7	7	10	7	10
"Y40B1A.2"	58	22	13	9	43	9	6	8	9	19	1	11
"Y40B1A.3c"	1	0	0	0	0	0	0	2	0	0	0	0
"Y40B1A.4"	32	27	18	10	28	19	10	17	24	21	13	10
"Y40B1B.3"	12	4	5	7	9	4	6	6	5	3	1	2
"Y40B1B.6"	566	428	239	188	300	271	169	161	356	256	197	220
"Y40B1B.7"	58	25	21	11	33	11	6	9	22	11	5	6
"Y40B1B.8"	607	341	192	144	402	219	143	139	313	312	213	173
"Y40C5A.1.2"	1	0	0	0	0	0	1	0	0	0	0	1
"Y40C5A.3n"	0	0	0	0	1	2	0	0	0	0	0	0
"Y40C7B.1"	1	0	0	0	0	0	0	0	1	0	0	0
"Y40C7B.4"	0	0	0	0	0	0	1	0	0	0	0	0
"Y40C7B.7"	0	0	0	0	1	0	0	0	0	0	0	0
"Y40D12A.1a"	54	54	33	24	37	26	23	15	50	51	46	34
"Y40D12A.2"	6	2	1	2	2	1	0	0	0	1	0	0
"Y40G12A.1"	91	45	19	14	36	28	20	12	33	31	27	24
"Y40G12A.2"	713	605	400	363	474	443	311	285	562	698	397	285
"Y40H4A.2"	1	0	0	0	0	0	0	0	0	0	0	0
"Y40H7A.1"	1	0	0	0	0	0	0	0	0	0	0	0
"Y40H7A.10"	2	2	1	2	4	1	1	0	3	2	1	0
"Y40H7A.15"	3	4	0	2	2	3	1	0	1	2	0	0
"Y40H7A.310"	491	165	81	63	550	78	68	50	152	179	79	62
"Y40H7A.3a"	1	1	3	0	6	3	0	2	1	0	0	1
"Y40H7A.5"	1	0	1	0	2	0	0	0	0	1	0	1
"Y40H7A.6"	2	0	0	0	1	0	0	0	0	0	0	1
"Y40H7A.7"	190	122	51	71	125	80	54	60	146	157	99	68
"Y41C4A.10"	455	369	203	190	264	255	138	162	289	403	292	229
"Y41C4A.11"	2	0	0	0	0	0	1	1	2	0	0	0
"Y41C4A.12a"	0	3	1	1	1	2	0	1	1	1	1	1
"Y41C4A.13"	200	201	98	105	157	96	56	98	221	293	136	124
"Y41C4A.14"	98	63	48	25	61	39	28	23	49	49	37	33
"Y41C4A.17"	11	8	5	2	6	5	6	4	7	6	4	2
"Y41C4A.18"	2	2	3	1	0	3	1	0	2	2	0	0
"Y41C4A.19"	2	3	0	0	0	0	0	2	0	0	1	1
"Y41C4A.2"	13	7	5	4	0	2	3	3	4	4	2	2
"Y41C4A.22"	0	0	0	1	2	0	0	0	0	0	1	0
"Y41C4A.27"	0	2	0	0	0	0	0	0	0	0	0	1
"Y41C4A.29"	65	27	12	15	43	27	18	17	39	43	18	28
"Y41C4A.4e"	2	2	0	1	1	3	0	0	0	0	1	0
"Y41C4A.5"	3	0	0	5	1	5	2	1	0	3	0	1
"Y41C4A.6"	3	6	2	4	3	4	4	5	1	5	3	0
"Y41C4A.7"	1	0	0	0	0	0	0	0	0	0	0	0
"Y41C4A.8"	21	12	6	9	18	9	6	6	7	15	5	19
"Y41C4A.9"	185	156	98	80	92	87	48	45	142	89	70	68
"Y41D4A.1"	6	5	3	1	6	3	5	6	10	17	4	10
"Y41D4A.2"	1	1	0	1	1	0	0	0	1	1	0	0
"Y41D4A.3"	2211	1619	1054	852	1245	1098	752	785	1418	1721	1146	796
"Y41D4A.4e"	6	4	4	1	0	5	0	3	5	0	1	2
"Y41D4A.5"	194	115	46	54	71	57	46	38	98	58	55	41
"Y41D4A.6e"	102	69	31	19	61	20	20	20	41	46	34	31
"Y41D4A.8a"	0	3	5	0	3	1	0	0	3	5	1	3
"Y41D4B.1"	3	3	3	1	1	0	1	0	0	1	1	2
"Y41D4B.11a"	56	23	7	5	25	12	4	7	25	18	10	9
"Y41D4B.12a"	51	8	10	1	67	2	2	2	6	10	6	7
"Y41D4B.13a"	183	162	94	62	86	107	58	66	125	127	105	56
"Y41D4B.14"	3	5	7	3	8	4	3	1	3	7	2	1
"Y41D4B.15"	0	0	0	0	0	0	0	0	0	1	0	0
"Y41D4B.16"	2	0	3	2	5	0	1	1	0	4	1	1
"Y41D4B.17"	2	2	1	0	2	0	1	0	0	1	1	0
"Y41D4B.18"	3	1	1	0	2	2	1	0	2	1	1	0
"Y41D4B.19b"	742	535	278	244	376	306	183	219	418	446	303	234
"Y41D4B.20"	81	45	34	18	55	38	15	31	43	48	36	21
"Y41D4B.21c"	47	24	12	12	17	20	4	6	18	13	8	7
"Y41D4B.24"	2	0	0	1	1	1	0	0	0	0	0	1
"Y41D4B.26"	0	0	0	0	0	0	0	0	0	0	0	1
"Y41D4B.27"	1049	769	420	384	596	487	333	534	793	1244	658	508
"Y41D4B.5"	145	100	55	48	108	74	30	27	91	64	63	42
"Y41D4B.6"	0	0	0	0	0	0	0	0	0	1	0	0
"Y41D4B.7"	44	32	19	12	26	11	9	15	30	26	21	12
"Y41D4B.8"	3	2	0	0	1	0	1	2	1	0	0	0
"Y41D4B.9"	86	58	27	17	45	21	23	14	32	38	29	17
"Y41E3.10b"	476	164	84	45	246	95	35	38	99	98	56	59
"Y41E3.11e"	325	330	177	133	134	153	105	116	212	187	138	125
"Y41E3.12"	1	0	0	0	0	0	0	0	0	0	0	0
"Y41E3.13"	1	0	0	0	0	0	0	0	0	0	0	0
"Y41E3.14"	1	0	0	0	0	0	0	0	1	0	0	0
"Y41E3.15"	0	0	0	1	0	1	0	0	1	1	0	0
"Y41E3.17"	0	0	0	0	0	1	0	0	0	0	0	0
"Y41E3.18"	2	2	1	0	0	1	1	0	2	0	1	1
"Y41E3.19"	0	2	0	1	0	0	1	0	1	1	1	0
"Y41E3.1a"	65	38	26	27	31	21	17	9	34	23	25	17
"Y41E3.22a"	2	0	0	0	0	0	0	0	0	0	0	0
"Y41E3.460"	0	0	0	0	0	0	0	0	0	1	0	0
"Y41E3.462"	0	3	0	1	5	1	0	0	1	1	0	0
"Y41E3.4b.2"	50	50	38	9	34	32	14	17	42	29	26	9
"Y41E3.5"	0	0	0	1	0	0	0	0	0	0	0	0
"Y41E3.6"	26	36	24	13	18	25	22	21	28	30	23	18
"Y41E3.7g"	0	0	1	0	0	0	0	0	0	1	0	0
"Y41E3.8a"	0	2	2	1	0	1	3	1	6	0	2	1
"Y41E3.9a"	343	168	134	70	134	84	42	42	111	102	69	76
"Y41G9A.1"	1	0	0	0	2	0	0	0	0	0	0	0
"Y41G9A.2"	1	1	2	0	0	2	0	1	0	1	1	0
"Y42A5A.1"	2	4	1	2	0	1	3	1	1	2	8	0
"Y42A5A.5"	50	52	21	17	24	24	13	18	20	26	19	12
"Y42G9A.1"	1731	1405	747	625	1241	830	592	690	1278	1954	1030	791
"Y42G9A.2"	0	2	0	0	0	0	0	0	0	1	1	0
"Y42G9A.3b"	0	2	0	0	0	0	1	0	0	0	0	0
"Y42G9A.4c.2"	8	6	8	4	8	1	3	1	8	2	2	3
"Y42G9A.6a"	52	16	5	4	32	8	4	2	12	6	6	6
"Y42H9AR.2"	0	2	0	1	0	0	0	0	1	0	1	0
"Y42H9AR.3b"	257	176	78	94	164	95	55	66	147	118	92	76
"Y42H9AR.4"	391	203	109	87	176	103	84	79	138	117	90	100
"Y42H9AR.5"	1	0	1	0	0	0	0	0	0	1	0	0
"Y42H9B.1"	2	0	1	1	1	1	0	0	0	0	0	0
"Y42H9B.2"	808	508	297	236	415	284	205	153	400	326	247	207
"Y42H9B.3"	423	305	173	138	144	161	99	77	244	212	133	105
"Y42H9B.9"	0	0	0	0	1	0	0	0	0	0	0	0
"Y43B11AL.1"	694	539	369	283	258	435	374	329	506	552	289	251
"Y43B11AL.3"	1	0	0	0	0	1	0	0	0	0	0	0
"Y43B11AL.5"	262	256	168	120	142	115	118	90	179	169	122	103
"Y43B11AR.1"	4	1	2	2	1	1	0	1	0	0	0	2
"Y43B11AR.2"	2	2	0	0	0	1	0	0	1	0	0	0
"Y43B11AR.3"	91	93	40	44	72	41	20	19	44	44	31	23
"Y43B11AR.4"	555	505	318	311	335	367	241	290	514	649	391	347
"Y43B11AR.7"	0	0	0	0	0	0	0	0	0	1	0	0
"Y43C5A.1.2"	1	1	0	2	1	0	0	0	0	3	0	0
"Y43C5A.2"	0	1	0	0	0	0	0	0	0	0	0	0
"Y43C5A.4"	0	2	2	0	0	0	0	0	1	1	0	0
"Y43C5A.5a"	68	43	24	29	32	21	21	21	29	41	38	20
"Y43C5B.2"	7	2	3	2	2	0	0	1	1	1	0	1
"Y43C5B.3"	152	62	34	54	87	40	28	18	14	34	19	14
"Y43D4A.10"	162	137	83	74	103	94	50	64	139	214	122	83
"Y43D4A.5c"	5	4	1	3	3	0	1	1	1	1	1	0
"Y43D4A.6"	8554	3073	1425	1212	4149	1620	1440	1671	2636	3316	2168	1814
"Y43E12A.1"	107	48	23	23	58	21	15	14	44	34	18	19
"Y43E12A.2"	7	5	1	1	3	0	0	4	1	2	2	2
"Y43E12A.3b"	4	1	1	2	1	2	1	0	2	3	0	1
"Y43F11A.5"	1042	684	495	393	494	408	335	272	605	507	414	351
"Y43F11A.6"	392	260	162	115	263	148	101	132	261	237	177	149
"Y43F4A.1a"	126	35	17	13	57	18	15	3	3	4	3	4
"Y43F4A.2"	1961	1846	1198	940	940	1047	803	545	1088	1082	751	522
"Y43F4A.3"	1120	946	776	640	586	708	515	342	680	718	580	450
"Y43F4A.4"	2	1	0	0	1	0	0	0	0	0	0	0
"Y43F4B.10.2"	64	23	18	17	31	19	20	13	25	34	18	24
"Y43F4B.11"	1	0	0	0	1	0	0	0	0	0	0	0
"Y43F4B.2"	21	18	5	9	6	13	5	5	10	15	6	10
"Y43F4B.3"	738	727	432	365	405	418	339	293	645	522	379	384
"Y43F4B.4"	803	605	405	317	384	371	230	188	444	366	283	264
"Y43F4B.5a"	15	5	0	1	0	2	2	1	8	5	1	4
"Y43F4B.6"	5180	2604	1360	1014	1985	1179	970	724	2181	1481	1238	1117
"Y43F4B.7"	279	186	111	86	169	111	65	66	139	114	103	89
"Y43F4B.9b.2"	41	12	11	11	17	12	9	6	15	21	9	8
"Y43F8A.2"	0	2	0	0	0	2	0	0	0	1	0	0
"Y43F8A.5"	3	1	0	1	1	2	0	0	0	0	1	0
"Y43F8B.12"	15	14	4	8	1	9	3	6	5	9	7	4
"Y43F8B.15"	3	0	0	0	0	0	0	0	0	0	0	0
"Y43F8B.17"	104	137	105	116	66	136	118	53	140	107	78	41
"Y43F8B.18"	17	13	7	7	3	5	4	4	8	4	3	0
"Y43F8B.19"	1	0	0	0	0	0	0	0	0	0	0	0
"Y43F8B.21"	13	3	5	2	0	4	2	0	2	0	2	0
"Y43F8B.22"	112	98	67	49	57	69	38	23	78	71	34	21
"Y43F8B.24"	1	0	0	0	0	0	0	0	0	0	0	0
"Y43F8B.28"	43	24	19	14	22	22	18	3	15	8	7	3
"Y43F8B.29"	48	28	31	20	29	26	23	9	22	17	9	9
"Y43F8B.2f.1"	7	4	2	4	2	4	5	5	3	14	7	3
"Y43F8B.3f"	0	0	0	0	0	0	0	1	0	0	0	0
"Y43F8B.4a"	0	0	0	0	2	2	0	0	0	0	0	0
"Y43F8B.5"	0	0	0	0	0	1	0	0	0	0	0	0
"Y43F8B.6"	1	0	0	0	0	1	0	0	0	0	0	0
"Y43F8B.7"	17	10	3	6	4	2	6	2	5	4	0	1
"Y43F8B.8"	56	64	32	29	30	20	39	11	52	38	25	13
"Y43F8B.9"	1159	1029	653	683	730	959	564	286	559	682	380	266
"Y43F8C.11"	0	0	1	0	0	0	0	0	0	1	0	0
"Y43F8C.12"	470	276	132	130	298	174	140	100	211	233	164	146
"Y43F8C.13"	9	5	3	2	8	3	2	0	3	0	3	1
"Y43F8C.14"	249	199	133	87	101	139	73	67	173	152	130	86
"Y43F8C.18"	3	2	0	1	0	7	1	0	1	0	1	0
"Y43F8C.2"	0	0	1	0	1	0	0	1	0	0	1	0
"Y43F8C.22"	5	3	0	1	0	0	0	0	0	0	0	0
"Y43F8C.24"	1	0	0	0	0	0	0	0	1	1	0	0
"Y43F8C.3"	16	5	9	11	18	6	3	5	8	15	1	5
"Y43F8C.4"	1	2	2	0	1	0	2	2	0	1	3	3
"Y43F8C.5"	4	1	2	1	2	1	2	0	1	2	1	0
"Y43F8C.7.1"	5	9	5	7	1	4	6	2	4	3	3	0
"Y43F8C.8"	428	208	104	73	264	91	74	104	176	230	112	104
"Y43F8C.9"	576	477	174	179	123	137	112	122	291	355	292	234
"Y43H11AL.1d"	215	148	95	81	117	79	66	69	126	131	100	82
"Y43H11AL.2a"	3	0	2	0	6	1	0	0	1	1	1	0
"Y43H11AL.3a"	1795	1015	533	487	977	627	384	457	859	1038	619	562
"Y44A6B.3"	322	333	169	172	256	200	122	108	233	216	161	98
"Y44A6B.4"	71	60	31	29	35	37	21	31	41	48	24	21
"Y44A6C.1"	1	1	2	0	1	0	3	0	0	3	2	0
"Y44A6C.2"	1064	925	460	443	698	538	431	436	821	760	572	356
"Y44A6C.4"	0	1	0	0	0	0	0	0	0	0	0	0
"Y44A6D.1"	0	2	0	0	0	1	2	0	2	0	0	0
"Y44A6D.2"	6	0	2	0	3	0	0	0	0	1	0	0
"Y44A6D.3b"	12	16	9	5	13	4	8	10	19	20	16	9
"Y44A6D.4"	1	1	0	0	0	0	0	0	0	0	0	0
"Y44A6D.5"	81	77	55	34	44	42	30	10	32	24	12	12
"Y44E3A.2"	27	27	24	13	33	26	19	27	52	83	39	31
"Y44E3A.3"	187	98	44	30	116	46	34	25	47	72	38	37
"Y44E3A.4"	404	277	162	115	151	136	87	79	195	169	111	132
"Y44E3A.6b"	1020	838	584	474	592	602	377	325	756	802	540	443
"Y44E3B.1b.1"	14	7	3	1	10	1	3	1	1	2	2	0
"Y44E3B.2"	3	7	0	3	6	1	1	0	2	1	4	1
"Y44F5A.1"	121	74	39	26	52	46	26	21	71	53	40	46
"Y45F10A.2"	1285	782	392	299	511	342	273	259	596	388	357	335
"Y45F10A.3b"	829	276	150	140	646	188	100	111	206	259	163	98
"Y45F10A.4"	422	287	236	214	427	301	161	242	415	489	239	151
"Y45F10A.7a"	52	28	9	8	16	19	6	8	19	15	14	15
"Y45F10B.1"	0	1	0	2	0	0	0	0	1	0	1	1
"Y45F10B.10a"	0	0	1	0	1	2	1	1	2	1	1	0
"Y45F10B.11"	0	0	0	0	2	0	0	0	0	0	0	0
"Y45F10B.15"	0	5	2	0	3	1	1	1	1	1	1	0
"Y45F10B.16"	19	18	12	6	14	9	11	5	9	17	11	7
"Y45F10B.18"	4	0	1	1	9	1	2	1	3	1	1	0
"Y45F10B.19"	146	173	76	50	43	76	61	32	98	80	54	40
"Y45F10B.2"	1	2	0	0	1	1	0	0	0	0	0	0
"Y45F10B.20"	186	136	95	75	134	71	67	66	88	95	61	42
"Y45F10B.3"	0	0	0	0	2	0	0	0	0	0	0	0
"Y45F10B.4.2"	1	0	1	0	1	1	1	0	0	2	0	0
"Y45F10B.59"	5	4	2	2	0	1	0	2	5	3	1	2
"Y45F10B.9"	1	1	1	0	3	1	0	0	1	1	0	0
"Y45F10C.3"	719	321	156	143	213	158	125	143	279	242	174	157
"Y45F10C.4"	1	0	0	0	0	0	0	0	1	0	0	0
