"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"
"B0303.2"	6010	4159	2125	1752	4008	2476	1756	2151	4475	5546	3316	2388
"B0303.3.2"	322	217	108	109	155	104	76	49	148	126	98	97
"B0303.4.2"	193	108	64	48	109	70	40	49	98	79	76	55
"B0303.5"	0	1	1	0	0	0	0	0	0	2	0	0
"B0303.8"	10	1	1	3	5	2	1	1	0	2	2	2
"B0303.9"	415	260	130	122	228	112	102	73	161	169	125	130
"B0304.1c"	3	1	0	1	0	1	1	1	1	0	0	0
"B0304.2"	235	218	107	132	150	120	86	102	222	212	172	100
"B0304.4"	140	92	78	77	84	67	32	35	84	91	64	52
"B0304.5"	0	0	0	0	0	0	0	0	0	0	0	2
"B0304.6"	1	5	0	1	1	0	0	1	0	5	1	0
"B0304.8"	1149	826	493	367	743	423	382	374	694	918	582	451
"B0304.9"	0	0	1	0	0	0	0	0	0	0	0	0
"B0310.1b"	3	3	0	1	0	0	0	0	0	0	0	1
"B0310.2"	1	3	0	1	1	2	4	2	0	4	3	0
"B0310.5"	5	2	0	1	1	0	1	1	1	2	1	0
"B0331.1"	19	9	5	6	7	4	5	2	6	6	7	0
"B0334.1.2"	0	3	0	0	0	1	0	0	0	1	0	0
"B0334.10"	4	0	1	3	3	1	2	0	1	0	0	0
"B0334.11a"	2	2	0	1	0	0	0	0	0	1	0	2
"B0334.13"	0	3	0	0	0	0	0	1	0	0	0	0
"B0334.15"	95	83	45	45	58	39	28	31	46	80	41	35
"B0334.17"	0	0	0	0	0	0	0	0	0	0	0	1
"B0334.2b.2"	3	3	0	4	2	0	1	0	0	0	0	1
"B0334.4"	184	106	65	44	82	61	41	43	100	76	72	57
"B0334.5"	84	51	39	30	37	36	29	35	50	48	33	33
"B0334.6"	2	1	1	1	2	1	0	1	2	1	1	0
"B0334.7"	9	3	3	1	1	0	1	0	2	1	1	1
"B0334.8a"	307	236	152	114	128	126	73	76	181	98	99	103
"B0334.9"	34	43	20	12	18	20	11	23	31	55	35	22
"B0336.10.3"	0	0	0	0	1	0	0	0	0	0	0	0
"B0336.11a"	3	0	1	0	2	0	1	1	0	1	0	0
"B0336.13"	166	69	33	26	110	28	17	22	44	31	14	23
"B0336.1a"	2	1	0	1	2	1	0	0	0	2	1	0
"B0336.2.1"	8	4	3	2	1	4	5	1	10	3	5	1
"B0336.3"	1782	1192	734	558	729	651	396	344	922	612	604	485
"B0336.4a"	0	2	0	0	1	0	0	0	0	1	0	0
"B0336.5a"	0	1	1	0	1	0	0	1	1	2	1	0
"B0336.6.1"	10	13	5	4	8	8	3	0	3	6	9	4
"B0336.7a"	2	0	0	0	0	0	0	1	0	0	1	0
"B0336.8"	60	41	18	15	20	18	14	12	31	32	14	16
"B0336.9e"	540	423	241	213	215	223	160	144	402	280	236	225
"B0344.1"	112	32	26	24	46	20	15	9	38	30	17	20
"B0344.2"	0	0	3	0	1	0	0	1	1	1	1	0
"B0348.10"	58	31	17	13	37	13	11	20	20	45	16	10
"B0348.4u"	69	69	45	56	31	47	48	33	62	32	39	16
"B0348.5a"	847	1012	552	495	582	305	227	330	860	1053	322	384
"B0348.6c.1"	59	27	10	9	19	10	9	3	17	11	10	8
"B0348.9"	0	1	0	0	0	0	0	0	0	0	0	0
"B0350.2g.2"	38	24	21	20	18	27	11	14	28	19	21	11
"B0353.1a"	0	0	0	2	0	0	0	0	0	1	0	2
"B0361.10.1"	76	25	30	23	34	29	19	10	37	19	23	19
"B0361.11"	23	8	2	2	10	1	2	2	1	0	0	0
"B0361.12"	3	0	0	0	0	0	0	0	0	0	0	0
"B0361.2a"	185	126	84	49	118	83	45	49	109	100	64	47
"B0361.4"	965	481	243	224	540	268	317	444	445	720	462	366
"B0361.5a"	1	0	0	0	1	0	0	0	0	0	0	0
"B0361.6"	547	282	147	98	366	152	107	116	213	223	163	117
"B0361.7"	90	67	31	34	50	34	12	9	39	41	23	21
"B0361.8"	52	32	20	19	32	21	14	4	14	21	11	9
"B0361.9"	149	54	33	26	87	38	31	29	52	100	40	43
"B0365.1"	588	393	238	185	218	205	160	138	311	225	212	157
"B0365.2"	3	2	0	0	1	1	0	1	0	0	0	1
"B0365.3.1"	14	3	9	3	4	5	5	7	11	2	6	11
"B0365.5a"	1	1	0	0	0	0	0	0	1	0	0	0
"B0365.7"	0	0	1	1	1	1	0	0	0	0	0	0
"B0365.9"	4	1	2	0	2	0	0	0	0	0	0	0
"B0379.13"	0	0	0	0	0	1	0	0	0	0	0	0
"B0379.4a"	56	33	21	12	22	16	14	14	19	26	23	12
"B0379.6"	3	1	0	3	3	0	4	0	4	4	1	4
"B0379.7.1"	4	0	0	0	0	0	0	0	0	0	1	0
"B0391.1"	0	0	0	0	0	0	0	0	0	1	0	0
"B0391.10"	10811	6444	3458	2757	5930	3758	2522	2034	3667	4131	2949	2628
"B0391.11a"	0	1	0	0	0	0	0	0	0	0	0	0
"B0391.12"	0	0	0	0	0	2	0	0	0	0	0	0
"B0391.14"	3	0	0	0	0	0	0	0	0	1	1	0
"B0391.4"	7	7	3	4	7	2	1	2	0	1	3	0
"B0391.5"	313	139	88	58	187	97	37	33	97	107	58	38
"B0391.6"	6	2	1	0	5	3	1	2	0	2	3	2
"B0391.8"	139	105	84	48	110	75	49	61	112	120	73	46
"B0391.9"	326	198	162	93	140	151	74	56	105	112	78	42
"B0393.1.2"	256	161	90	86	150	101	60	57	172	122	104	79
"B0393.2.2"	122	85	65	45	56	66	39	41	62	76	71	37
"B0393.3"	611	415	205	180	225	200	134	103	349	197	164	179
