ID	up_or_down	duration	completeness	stgen	wilcox_sig	wilcox_dir	mRNA_fold_change	mRNA_before	mRNA_after	22G_fold_change	22G_before	22G_after	MAplot_significant
F54D10.3	1	8	0	5	0	0	0.838721923345309	42.045424008989	75.9852362816297	-1.19250403650439	4600.70291062568	2012.44185283631	0
F54E2.3j	2	1	1	1	0	0	0.66542439708091	972.877549804488	1543.60365364744	1.04489128156514	48.4433621195295	101.012082350075	0
F54E2.3j	1	1	1	2	0	0	-0.847304298382289	1543.60365364744	857.525202262049	-1.08048545044775	101.012082350075	47.2384208725035	0
F54E2.3j	2	7	1	3	0	0	-2.58059333817799	857.525202262049	142.521527236707	0.297863272743477	47.2384208725035	58.3005692091121	0
F54E2.3j	1	3	0	10	0	0	-1.17943171149583	186.991042039224	82.002817041598	-0.453995917142974	30.1046151032805	21.7069311259361	0
F55C7.7g.2	2	3	1	6	0	0	-1.05761565348134	551.265439690255	264.322347221264	2.68332213466326	9.14152691100208	64.142406452418	0
F55C7.7g.2	1	4	0	9	0	0	-0.96594858896888	452.357688984271	231.092702897531	0.913194603875235	4.68771450611504	9.71116616234856	1
F55C9.1	2	3	1	6	0	0	0.473958011101094	11.9192527500596	16.9437402064913	2.43121444046012	26.1186483171488	145.263685201064	0
F55C9.1	1	4	0	9	0	0	0.332437905051076	15.2053004700595	19.4047307776553	-0.24722980521015	39.3768018513663	33.0179649519851	1
F56B6.4c	2	1	1	2	1	-1	-0.0965459605167833	516.378761076803	482.888573055981	1.09007692851465	9.94815962538614	22.3070320786822	0
F56B6.4c	1	5	1	3	1	-1	-0.220595075221901	482.888573055981	414.278676628734	-0.91786469459049	22.3070320786822	11.3362217906607	0
F56B6.4c	2	1	1	8	1	-1	0.718824176122684	227.108748113227	374.430524075216	-1.04743267376008	28.1954770677824	13.1256006171221	0
F56B6.4c	1	1	1	9	1	-1	-0.608684517959695	374.430524075216	245.20523437219	1.09305596709358	13.1256006171221	29.1334984870457	0
F56B6.4c	2	3	0	10	1	-1	0.0759695889990386	245.20523437219	258.517355419275	-0.693207701134992	29.1334984870457	17.6368815398231	0
F57A10.2	2	1	1	2	0	0	-0.59966963461186	16.5978887488973	10.61293567156	0.886088746851597	170.649199727778	316.23498417426	0
F57A10.2	1	10	0	3	0	0	0.624978945568461	10.61293567156	16.9093337399483	-0.573687604492993	316.23498417426	212.149293510936	0
F57F5.1	1	1	1	9	0	0	0.312511200733718	32060.3760411205	39814.97942288	0.634700239371269	60.9402885794955	95.1694283910159	0
F57F5.1	2	2	1	10	0	0	0.110558074579941	39814.97942288	42986.1546688567	0.151548952485918	95.1694283910159	105.821289238938	0
F57F5.1	1	1	0	12	0	0	-0.554138827258658	39555.2586491	26939.3230518501	-0.42048558526927	79.7413591845962	59.3277713922651	0
H24K24.5a	2	4	0	9	1	-1	-0.116820832356277	285.099383813616	262.845898715513	-0.000768659171793473	427.519562957692	427.291311143336	0
K03H6.5b	1	1	1	1	0	0	-1.15202846815319	29.9104748321768	12.9094690269201	-0.432563756698848	848.274192007931	628.26454249554	0
K03H6.5b	2	1	1	2	0	0	0.869314949025506	12.9094690269201	24.409752044588	0.442642621367801	628.26454249554	854.228110777772	0
K03H6.5b	1	1	1	3	0	0	-0.0854541391815005	24.409752044588	22.9483815042156	-0.570469932441753	854.228110777772	574.908390812077	0
K03H6.5b	2	1	1	4	0	0	0.313830342263937	22.9483815042156	28.7679216903609	0.580586538810934	574.908390812077	860.246300455217	0
