ID	up_or_down	duration	completeness	stgen	wilcox_sig	wilcox_dir	mRNA_fold_change	mRNA_before	mRNA_after	22G_fold_change	22G_before	22G_after	MAplot_significant	ID
F54D5.15b.2	1	4	0	9	0	0	-0.121192254763058	65.4032394735047	60.0529654104735	0.400908226127452	43.8794840726943	58.256126294489	0	F54D5.15
F54E2.3j	1	5	0	8	0	0	0.889168569959365	2092.62923507586	3876.62837606592	0.320799412802582	21.5818839655609	27.2052801250705	0	F54E2.3
F56D12.4a	1	1	0	12	1	1	-0.189474008656294	147.344791117607	129.087312433605	0.117151173188871	265.061611584845	287.568043220185	0	F56D12.4
F57A10.2	1	4	0	9	0	0	-0.682285649912652	4.45931178228441	2.40211861641894	1.11115176423763	142.16952839553	308.272001641671	0	F57A10.2
F57F5.1	2	5	0	8	0	0	-0.154917168442608	33340.4612716222	29945.7650553006	-0.256946545375299	106.110929497341	88.6365578268425	0	F57F5.1
F59H6.2	1	7	0	6	1	1	0	0	0	-0.583625588403088	1227.83920169156	818.985644336677	0	F59H6.2
H24K24.5a	2	7	0	6	1	-1	-0.0927764640552518	396.492380309336	371.735115178441	0.559271531802024	205.410928994368	303.151662923072	0	H24K24.5
K05C4.11	1	8	0	5	1	1	-0.210582779892575	88.3885687028135	76.2485346748723	-0.331109411919662	56.128881300477	44.4131738366201	0	K05C4.11
K07A1.17	2	8	0	5	0	0	-0.0742841752154391	1589.54524372109	1509.72098656247	0.460944936904892	247.103977432588	340.500999414087	0	K07A1.17
K08A2.4	2	1	0	12	0	0	-0.253901178037149	535.183379231767	448.657122482652	-1.2898095251903	206.828378736659	84.0028513349287	0	K08A2.4
K08B4.6	2	3	0	10	1	1	0.00248499379651967	2369.69001509728	2373.77696790593	0.194241181829131	247.588536751578	283.41566984822	0	K08B4.6
K10B4.6a	2	12	0	1	1	1	-0.152001671939942	202.530889288219	182.177980846818	1.43148644044093	196.482882450613	531.659668533814	1	K10B4.6
K10B4.6b	2	3	0	10	0	0	NA	NA	NA	-0.150796546478857	177.195717479071	159.510326748747	0	K10B4.6
K10G6.3r	2	2	0	11	0	0	-0.09092441957171	1417.84574717146	1331.18397492458	0.613919126939811	779.037042246114	1192.7772521318	0	K10G6.3
M01E5.1	2	7	1	2	0	0	0.0422626593152189	1.41223240966525	1.48394214553595	0.850880809747829	146.867311749672	265.693741285618	0	M01E5.1
M01E5.1	1	4	0	9	0	0	0	0	0	-0.326056050444488	213.254292593294	169.91370169226	0	M01E5.1
M142.6c	2	1	1	8	0	0	0.148433864168201	3685.26518591472	4084.72959257252	-0.788739078033537	120.498852141048	69.329584834857	0	M142.6
M142.6c	1	4	0	9	0	0	0.0214940587328396	4084.72959257252	4146.05673193909	-0.0538721827380444	69.329584834857	66.751811379102	0	M142.6
M88.6a	1	11	0	2	0	0	0.310836542134759	460.387765550873	571.317726031339	-0.350353739287327	1057.44464459764	829.235243502886	0	M88.6
M88.7	1	4	1	4	0	0	0.476640190050443	1200.35801685896	1670.68884777613	-0.926379630121255	3565.33922240879	1875.52603369886	1	M88.7
M88.7	2	5	0	8	0	0	-0.0901018612493001	1900.32412575394	1785.21115017453	-0.0330584018097166	3703.09159042416	3619.17984631583	0	M88.7
R01H10.6	2	2	1	4	0	0	-0.244022189905489	44.8010070642342	37.6738161684123	1.61020926621237	22.8693984760025	71.8723480067083	0	R01H10.6
R01H10.6	1	7	0	6	0	0	1.14250287454776	27.7267398817717	62.418209638171	-3.02495164592371	252.599926195777	30.15644814418	0	R01H10.6
R05G6.5	2	5	0	8	0	0	-0.61225210757335	20.9787391987555	13.3779353468532	-0.210568393098212	611.486712357558	528.308988235239	0	R05G6.5
R07E5.4	2	7	0	6	0	0	-0.144176595287671	680.691464097496	615.859668429954	1.09958920795315	275.731787569016	592.018692514691	0	R07E5.4
R07H5.9	1	1	1	1	0	0	-0.107960078904666	21.3852491795014	19.7712537353135	-1.49926455117499	221.878629161917	77.8396752273263	0	R07H5.9
R07H5.9	2	1	1	2	0	0	-0.69040394309493	19.7712537353135	11.8715371642876	1.54126636635044	77.8396752273263	228.462771169162	0	R07H5.9
R07H5.9	1	10	0	3	0	0	0.0536167006407098	11.8715371642876	12.3588985004784	-1.42229471712553	228.462771169162	84.6167743612092	0	R07H5.9
R08E3.3b	1	12	0	1	0	0	0.159841417272352	795.028087143818	888.294185679444	-0.174660577462933	185.789936466906	164.491389159633	0	R08E3.3
R11G10.3	2	5	0	8	0	0	0.733445908095015	17.4822826656296	29.7287452152294	-0.441545713617809	258.982607586731	190.436960875493	0	R11G10.3
R13F6.9	2	2	1	9	0	0	0.0999092779714141	154.589475119193	165.746184532907	-0.572271895419691	143.047118076983	95.8798745263464	0	R13F6.9
R13F6.9	1	2	0	11	0	0	-0.159386067591457	185.479192082807	165.974592293396	-0.495682890900335	68.3615686066059	48.1930202881536	0	R13F6.9
T05C3.6a	1	4	1	4	0	0	0.342303447175025	293.523839386362	372.39118289546	-0.527619279983979	32.0171578664035	21.9039536782349	0	T05C3.6
T05C3.6a	2	5	0	8	0	0	0.011620140024581	414.330099175422	417.688870273974	-0.457545864614102	44.9622582615852	32.4708182137938	0	T05C3.6
T05E11.9	1	2	0	11	0	0	NA	NA	NA	0.134095911650186	160.934526094718	176.707741056563	0	T05E11.9
T07F10.6	2	5	0	8	0	0	0.531524424373937	19.2305109321926	28.242307954468	-0.385595926358108	294.952414195999	225.540548133649	0	T07F10.6
T20F5.5	1	2	1	2	0	0	0.533376671240764	43.7792046996229	63.8095122580457	-1.51338872892059	30.8421354674312	10.1539009408517	0	T20F5.5
T20F5.5	2	1	1	4	0	0	1.16781132388288	20.0832100632774	46.3677737457382	2.51687474110771	20.5824586284022	122.525240887627	1	T20F5.5
T20F5.5	1	8	0	5	0	0	0.18050045947153	46.3677737457382	52.6808057753663	-3.46606943118484	122.525240887627	10.1780190042254	1	T20F5.5
T24A11.3	1	9	1	1	0	0	-0.664622808950906	533.373273653447	336.11131350033	-2.08468663722362	102.919605093178	23.4987698799476	0	T24A11.3
T24A11.3	2	2	1	10	0	0	0.000668708408120722	338.698724915071	338.856216305129	0.60418568829434	43.6920947208667	66.937369260635	0	T24A11.3
T24A11.3	1	1	0	12	0	0	0.0853165288957438	370.902405227079	393.558879370747	-0.719514110571422	26.1045526560832	15.4606474849562	0	T24A11.3
